(1, 'Яшина', 'Акулина', 'Андрониковна', 24, 'РКТ2', 'ж'),
(2, 'Майоров', 'Геннадий', 'Максимович', 19, 'Э10', 'м'),
(3, 'Ерофеев', 'Даниил', 'Евсеевич', 23, 'РЛ2', 'м'),
(4, 'Руднев', 'Данакт', 'Никитич', 24, 'РК6', 'м'),
(5, 'Булгакова', 'Ермиония', 'Петровна', 18, 'Э6', 'ж'),
(6, 'Исаева', 'Оксана', 'Батьковна', 22, 'МТ7', 'ж'),
(7, 'Дементьева', 'Целестина', 'Ксенофонтьевна', 17, 'Э1', 'ж'),
(8, 'Астахова', 'Павлина', 'Никитовна', 20, 'МТ6', 'ж'),
(9, 'Абрамов', 'Поликарп', 'Леонидович', 17, 'СМ2', 'м'),
(10, 'Шульгин', 'Герасим', 'Петрович', 26, 'РТ2', 'м'),
(11, 'Шестакова', 'Милица', 'Вениаминовна', 21, 'МТ11', 'ж'),
(12, 'Ершова', 'Ермиония', 'Андрониковна', 18, 'ЮР1', 'ж'),
(13, 'Кудрявцев', 'Михаил', 'Чеславович', 21, 'МТ12', 'м'),
(14, 'Майоров', 'Сильвестр', 'Маркович', 22, 'МТ2', 'м'),
(15, 'Клюева', 'Олимпиада', 'Антоновна', 19, 'ИУ8', 'ж'),
(16, 'Румянцев', 'Роман', 'Прохорович', 17, 'МТ6', 'м'),
(17, 'Колесникова', 'Матрёна', 'Гавриловна', 26, 'МТ5', 'ж'),
(18, 'Панова', 'Василиса', 'Михайловна', 16, 'РЛ2', 'ж'),
(19, 'Фетисова', 'Алла', 'Рустамовна', 21, 'СМ13', 'ж'),
(20, 'Ширяева', 'Ия', 'Осиповна', 18, 'МТ5', 'ж'),
(21, 'Галкина', 'Ирина', 'Виссарионовна', 20, 'РЛ6', 'ж'),
(22, 'Руднев', 'Варфоломей', 'Августович', 26, 'ФН2', 'м'),
(23, 'Самсонов', 'Савва', 'Олегович', 25, 'РЛ6', 'м'),
